Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population ages 80 and above, female",SP.POP.80UP.FE,Lao PDR,LAO,1678,1872,2045,2208,2380,2567,2765,2972,3187,3406,3628,3857,4095,4331,4553,4753,4930,5088,5254,5448,5683,5963,6280,6615,6954,7294,7631,7956,8279,8622,8976,9341,9723,10116,10505,10886,11273,12074,13336,14685,16133,17681,19240,20713,22091,22571,22262,22250,22635,23411,24615,26152,27913,29801,31759,31564,29505,28001,26893,26176,25874,25738,25760
"Population ages 80 and above, male",SP.POP.80UP.MA,Lao PDR,LAO,2198,2204,2210,2218,2241,2281,2334,2397,2473,2562,2661,2775,2899,3030,3151,3250,3328,3391,3456,3550,3685,3862,4076,4306,4531,4756,4979,5193,5402,5619,5842,6066,6298,6530,6760,6988,7214,7781,8756,9870,11144,12585,14164,15843,17622,18372,18006,17812,17976,18474,19300,20411,21760,23276,24912,24687,22805,21395,20338,19570,19012,18516,18265
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,Lao PDR,LAO,0.209874056,0.205690746,0.201478053,0.197644484,0.19524452,0.194300518,0.194230921,0.194916316,0.196475907,0.198781243,0.201603053,0.205113382,0.209152203,0.213244151,0.216380346,0.218150819,0.218906108,0.219028439,0.219445848,0.221371656,0.225156831,0.230624786,0.237328435,0.244114366,0.249922235,0.254962002,0.259325795,0.262641154,0.265274461,0.268013786,0.270644239,0.273120892,0.275744589,0.278150283,0.280499089,0.28281153,0.285087533,0.301081044,0.332552718,0.368302995,0.408837298,0.454216608,0.503349891,0.554806417,0.60876228,0.625435418,0.603038081,0.586861576,0.582835627,0.589604218,0.606563266,0.631859155,0.663670491,0.699623452,0.738286071,0.721122669,0.656159068,0.606295641,0.567680098,0.538212007,0.515268339,0.494726225,0.481345126
"Population ages 80 and older, female (% of female population)",SP.POP.80UP.FE.5Y,Lao PDR,LAO,0.156139608,0.170239158,0.181738341,0.191789415,0.202085128,0.213027404,0.224166803,0.23538032,0.246558511,0.257432985,0.267726454,0.277904753,0.287978936,0.297359361,0.305356363,0.312096787,0.317677689,0.322448875,0.327715049,0.334220314,0.342197597,0.351506695,0.361657196,0.371572212,0.380667208,0.388785475,0.395728076,0.401316637,0.406102998,0.411172013,0.416335432,0.421481525,0.427000953,0.432710076,0.438080611,0.443166037,0.448453507,0.470504155,0.510165533,0.552073806,0.596443116,0.643160565,0.689098297,0.730987548,0.768816766,0.774194699,0.75191792,0.740148758,0.74171836,0.755975827,0.783544468,0.820836543,0.864145894,0.910300509,0.957452245,0.9382858,0.863737754,0.80715215,0.763490215,0.732008491,0.712866028,0.698917103,0.689729681
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,..,2.264312017,2.298157306,2.296247979,2.274377119,2.293123027,2.301778059,2.316663604,2.345657225,2.364582768,2.389646246,2.416986886,2.435071918,2.436730316,2.380460189,2.209566296,1.949102393,1.733734588,1.656306648,1.739223099,1.954337506,2.203699218,2.423615451,2.577329653,2.675478291,2.754280283,2.814048253,2.851262817,2.869366891,2.868216218,2.842489334,2.806094944,2.753595693,2.686395608,2.584170379,2.4547162,2.336440815,2.091880724,1.854044372,1.759452085,1.686007204,1.622856732,1.553068982,1.469044227,1.380844115,1.459487231,1.58692258,1.580871534,1.552324476,1.521468617,1.489478797,1.458595085,1.430973275,1.402649861,1.364912288,1.423956165,1.519813691,1.534364495,1.518707268,1.495404815,1.47745666,1.433214065,1.396495684
"Population, female",SP.POP.TOTL.FE.IN,Lao PDR,LAO,1074999,1099630,1124969,1151002,1177722,1205244,1233457,1262425,1292391,1323257,1355114,1388065,1421979,1456655,1490881,1522925,1551730,1577770,1603070,1630063,1660882,1696411,1736451,1780139,1826793,1876227,1928218,1982475,2038768,2096811,2156074,2216230,2276927,2337824,2397961,2456528,2513639,2566184,2613956,2660061,2704952,2749003,2792055,2833564,2873441,2915416,2960629,3006220,3051630,3096726,3141557,3186018,3230068,3273809,3317084,3364007,3415910,3469110,3522442,3575847,3629574,3682483,3734796
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Lao PDR,LAO,50.64701027,50.64756273,50.63744168,50.63313302,50.64353543,50.65208182,50.65821006,50.66059319,50.66074236,50.65852868,50.65310847,50.64577638,50.63504837,50.62116841,50.59181196,50.54983536,50.51176475,50.47665482,50.44360428,50.40860315,50.36762487,50.323777,50.27812274,50.2316259,50.18722754,50.14499129,50.10453722,50.06633083,50.03159539,50.00107308,49.97340329,49.94630653,49.92050174,49.89703959,49.8749155,49.8541228,49.83508839,49.82361066,49.81884617,49.81335402,49.80712975,49.80342254,49.80386547,49.8072003,49.81549598,49.81088234,49.78697886,49.76074876,49.73434046,49.70723588,49.68131159,49.65485705,49.62614478,49.5975907,49.57194655,49.56238888,49.56798822,49.57346593,49.57690395,49.58154079,49.58841566,49.59534991,49.60234279
"Population, male",SP.POP.TOTL.MA.IN,Lao PDR,LAO,1047533,1071512,1096646,1122217,1147792,1174212,1201405,1229502,1258678,1288854,1320168,1352667,1386311,1420907,1456001,1489795,1520286,1547973,1574876,1603638,1636637,1674582,1717241,1763723,1813164,1865376,1920171,1977223,2036193,2096720,2158369,2220994,2284179,2347472,2409990,2470903,2530276,2584354,2632966,2679994,2725901,2770704,2814046,2855501,2894726,2937553,2985964,3035128,3084231,3133204,3181861,3230309,3278735,3326932,3374369,3423412,3475453,3528807,3582564,3636206,3689825,3742575,3794678
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lao PDR,LAO,49.35298973,49.35248333,49.36255832,49.36686698,49.35650757,49.34791818,49.34183101,49.33940681,49.33921845,49.34147132,49.34685415,49.35422362,49.36495163,49.37886634,49.40818804,49.45016464,49.4882027,49.52337717,49.55642719,49.59142778,49.63237513,49.676223,49.72190622,49.76840232,49.81279993,49.85498198,49.89543679,49.93369442,49.96840461,49.99890307,50.02659671,50.05367093,50.07949826,50.10296041,50.12510529,50.14585691,50.16493144,50.17638934,50.18115383,50.18662726,50.19287025,50.19657746,50.19613453,50.1927997,50.18450402,50.18910058,50.21302114,50.23925124,50.26565954,50.29276412,50.31868841,50.34514295,50.37385522,50.40239416,50.42803851,50.43761112,50.43201178,50.42653407,50.42309605,50.41845921,50.41158434,50.40466356,50.39764393
"Population, total",SP.POP.TOTL,Lao PDR,LAO,2122532,2171141,2221615,2273219,2325513,2379456,2434861,2491927,2551070,2612111,2675283,2740732,2808290,2877561,2946882,3012720,3072017,3125742,3177945,3233700,3297519,3370993,3453691,3543861,3639956,3741604,3848390,3959697,4074961,4193532,4314443,4437225,4561106,4685296,4807950,4927432,5043914,5150538,5246922,5340056,5430853,5519707,5606101,5689065,5768167,5852970,5946593,6041348,6135861,6229930,6323418,6416327,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475
Postnatal care coverage (% mothers),SH.STA.PNVC.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.3,..,..,..,..
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.5,26.5,..,..,..,28.7,35.1,..,..,..,71,..,54.2,..,..,..,..,78.4,..,..,..,..,..
Pregnant women receiving prenatal care of at least four visits (% of pregnant women),SH.STA.ANV4.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.9,..,..,..,..,62.2,..,..,..,..,..
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.2,49.3,48.4,47.7,46.9,46.2,45.4,44.7,44,43.4,42.9,42.4,42,41.8,41.6,41.5,41.4,41.3,41.3,41.4,..,..,..
Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.8,40.9,40.1,39.4,38.6,37.9,37.3,36.7,36.2,35.9,35.6,35.5,35.6,35.8,36.2,36.6,37.2,37.7,38.4,39,..,..,..
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.5,50.2,49.9,49.6,49.3,49,48.6,48.2,47.9,47.5,47.3,47.1,46.9,46.9,46.9,46.9,46.9,47,47,47,..,..,..
Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.6,41.7,40.9,40.2,39.4,38.7,38.1,37.5,37,36.6,36.4,36.2,36.3,36.5,36.8,37.2,37.7,38.2,38.8,39.5,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.5,..,..,..,..,46.2,..,..,..,..,40.5,..,..,..,..,35.8,..,..,32.5,32.5,31.8,..,..
"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.9,..,..,..,..,22.3,..,..,..,..,17.3,..,..,..,..,13.3,..,..,11.5,10.9,10.3,..,..
"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76,..,..,..,..,70.1,..,..,..,..,63.6,..,..,..,..,58.2,..,..,55.1,54.1,53.3,..,..
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,26.1,26.1,26.2,26.3,26.4,26.5,26.6,26.7,26.9,27,27.2,27.4,27.6,27.8,28,28.1,28.2,28.3,28.4,28.4,28.3,28.3,28.2,28.2,28.2,28.3,28.4,28.4,28.5,..,..,..
"Prevalence of hypertension, female (% of female adults ages 30-79)",SH.HTN.PREV.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.9,27,27,27,27.1,27.1,27.2,27.3,27.4,27.6,27.8,28,28.2,28.5,28.8,29,29.3,29.5,29.7,29.9,30,30.1,30.2,30.3,30.5,30.6,30.8,31,31.2,31.4,..,..,..
"Prevalence of hypertension, male (% of male adults ages 30-79)",SH.HTN.PREV.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.9,25,25.2,25.4,25.5,25.6,25.8,25.9,26,26.1,26.2,26.4,26.5,26.6,26.7,26.8,26.8,26.8,26.8,26.7,26.5,26.4,26.2,26.1,25.9,25.8,25.7,25.7,25.6,25.6,..,..,..
Prevalence of overweight (% of adults),SH.STA.OWAD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6.2,6.4,6.7,6.9,7.1,7.3,7.6,7.8,8.1,8.4,8.7,8.9,9.2,9.6,9.9,10.2,10.6,10.9,11.3,11.7,12.1,12.5,13,13.5,14,14.6,15.2,15.8,16.4,17,17.7,18.4,19.1,19.8,20.6,21.3,22.1,22.9,23.7,24.6,25.4,..,..,..,..,..,..
Prevalence of overweight (% of children under 5),SH.STA.OWGH.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,..,..,..,..,..,1.3,..,..,..,..,2,..,..,..,2.5,..,3.5,..,..,..,..,..
"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2.1,2.1,2.2,2.3,2.4,2.6,2.7,2.9,3.1,3.3,3.5,3.7,4
"Prevalence of overweight, female (% of children under 5)",SH.STA.OWGH.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9,..,..,..,..,..,1,..,..,..,..,2.1,..,..,..,2.3,..,3.1,..,..,..,..,..
"Prevalence of overweight, female (% of female adults)",SH.STA.OWAD.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.2,7.5,7.7,8,8.3,8.5,8.8,9.1,9.4,9.8,10.1,10.4,10.8,11.2,11.5,11.9,12.3,12.7,13.2,13.6,14,14.5,15,15.6,16.1,16.7,17.3,17.9,18.5,19.2,19.9,20.6,21.3,22,22.7,23.4,24.2,24.9,25.6,26.4,27.2,27.9,..,..,..,..,..,..
"Prevalence of overweight, male (% of children under 5)",SH.STA.OWGH.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.4,..,..,..,..,..,1.5,..,..,..,..,2,..,..,..,2.7,..,3.9,..,..,..,..,..
"Prevalence of overweight, male (% of male adults)",SH.STA.OWAD.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.7,4.8,5,5.1,5.3,5.5,5.6,5.8,6,6.2,6.4,6.6,6.8,7.1,7.3,7.6,7.8,8.1,8.4,8.7,9,9.4,9.8,10.2,10.6,11.1,11.5,12.1,12.6,13.2,13.8,14.5,15.2,15.9,16.6,17.4,18.2,19,19.8,20.7,21.6,22.5,..,..,..,..,..,..
"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.5,..,..,..,..,..,1.7,..,..,..,..,1.4,..,..,..,2.4,..,3,..,..,..,..,..
"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.1,..,..,..,..,..,1.3,..,..,..,..,1.5,..,..,..,1.9,..,2.8,..,..,..,..,..
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.9,..,..,..,..,..,2,..,..,..,..,1.3,..,..,..,2.8,..,3.2,..,..,..,..,..
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.6,52.9,..,..,..,..,..,47.5,..,..,..,..,..,47.7,..,..,..,..,44.2,..,..,..,35.5,..,33.1,..,..,..,..,..
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.7,48.7,48.7,48.6,48.5,48.3,47.9,47.1,46.1,44.9,43.4,41.9,40.4,39,37.6,36.3,34.9,33.5,32.2,30.9,29.7,28.7,27.7
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.2,..,..,..,..,..,47,..,..,..,..,42.6,..,..,..,33.5,..,32.1,..,..,..,..,..
"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.9,..,..,..,..,..,48.3,..,..,..,..,45.7,..,..,..,37.4,..,34,..,..,..,..,..
Prevalence of syphilis (% of women attending antenatal care),SH.PRG.SYPH.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.2,29.5,26.9,24.1,22.4,20.6,20.1,18.3,16.8,14.1,12.8,11.3,10,8,6.7,5.9,5.6,5.3,5.4,5.1,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.8,35.9,..,..,..,..,..,35.6,..,..,..,..,..,31.6,..,..,..,..,26.6,..,..,..,25.5,..,21.1,..,..,..,..,..
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.1,..,..,..,..,..,30.5,..,..,..,..,26.4,..,..,..,23.8,..,20.6,..,..,..,..,..
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.2,..,..,..,..,..,32.7,..,..,..,..,26.8,..,..,..,27.1,..,21.6,..,..,..,..,..
"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.8,12.3,..,..,..,..,..,17.5,..,..,..,..,..,7.4,..,..,..,..,5.9,..,..,..,9.7,..,9,..,..,..,..,..
"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,..,..,..,..,..,6.9,..,..,..,..,5.4,..,..,..,8.6,..,8.6,..,..,..,..,..
"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,..,..,..,..,..,7.9,..,..,..,..,6.4,..,..,..,10.7,..,9.4,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.57408142,38.77077866,42.25828171,..,50.13871002,52.44168091,57.50563812,62.51818848,61.44512939,62.43043137,63.63505936,63.12385941,63.28068924,65.56964874,68.28617859,71.31549835,74.20134735,77.04409027,82.1552887,88.06243896,92.59841919,97.26261139,99.09388733,99.39419556,98.35606384,100.6919403,97.11763,92.03930664,88.46628571,88.69846344,..
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.04256058,47.96731186,54.64984894,..,62.89371872,66.4564209,69.73892975,75.31326294,73.1674881,72.53069305,72.24227905,71.7388916,72.29429626,74.67382813,79.50328064,81.49874878,83.2382431,86.3935318,89.12387848,94.60396576,97.40466309,101.332283,102.4306641,102.5805283,101.0667191,102.0784912,98.63582611,92.29284668,89.57159424,87.71353149,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.98841095,..,43.28926086,..,40.38301849,43.43988037,48.54685974,..,56.6086998,59.54944992,63.71025085,69.00775146,67.38773346,67.54495239,67.98867035,67.47633362,67.82991791,70.16239929,73.94615173,76.45172119,78.7592392,81.76178741,85.67514038,91.37177277,95.03047943,99.32383728,100.7859344,101.0114212,99.73226929,101.3968658,97.89003754,92.16832733,89.02875519,88.19730377,..
"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,10.7,10.6,10.3,10.1,9.9,9.7,9.5,9.3,9.1,8.9,8.7,8.5,8.3,8.1,7.9,7.7,7.4,7.2,6.9,6.7,6.4,6.1,5.9,5.6,5.4,5.1,4.9,4.7,4.6,4.4,4.3,..
"Probability of dying among adolescents ages 10-14 years, female (per 1,000)",SH.DYN.1014.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.1,10.8,10.6,10.3,10.1,9.9,9.6,9.4,9.2,9,8.8,8.6,8.3,8.1,7.9,7.6,7.4,7.1,6.9,6.6,6.3,6,5.7,5.4,5.2,4.9,4.6,4.4,4.2,4,3.8,3.7,..
"Probability of dying among adolescents ages 10-14 years, male (per 1,000)",SH.DYN.1014.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.9,10.7,10.5,10.3,10.1,9.9,9.7,9.6,9.4,9.2,9.1,8.9,8.7,8.6,8.4,8.2,7.9,7.7,7.5,7.2,7,6.7,6.5,6.2,6,5.8,5.6,5.4,5.2,5.1,4.9,4.8,..
"Probability of dying among adolescents ages 10-19 years (per 1,000)",SH.DYN.1019,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.1,25.7,25.4,25.1,24.8,24.6,24.3,24.1,23.7,23.3,22.9,22.4,21.8,21.2,20.5,19.7,18.8,17.9,17,16,15.1,14.2,13.3,12.4,11.6,10.9,10.4,9.9,9.6,9.3,9,8.7,..
"Probability of dying among adolescents ages 10-19 years, female (per 1,000)",SH.DYN.1019.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.2,25.8,25.5,25.3,25.1,25,24.9,24.7,24.2,23.8,23.2,22.5,21.8,21,20.1,19.1,18.1,16.9,15.8,14.7,13.7,12.7,11.8,11,10.2,9.5,8.9,8.5,8.1,7.8,7.5,7.2,..
